   0.0000000e+00   3.0000000e+02   3.0000000e+02   3.0000000e+02
   1.0000000e+01   4.0831376e+02   3.0000000e+02   3.0000000e+02
   2.0000000e+01   4.4792806e+02   3.0000074e+02   3.0000000e+02
   3.0000000e+01   4.7567177e+02   3.0002625e+02   3.0000000e+02
   4.0000000e+01   4.9725571e+02   3.0019234e+02   3.0000000e+02
   5.0000000e+01   5.1491198e+02   3.0069053e+02   3.0000000e+02
   6.0000000e+01   5.2979866e+02   3.0169213e+02   3.0000000e+02
   7.0000000e+01   5.4261122e+02   3.0329804e+02   3.0000000e+02
   8.0000000e+01   5.5380693e+02   3.0554028e+02   3.0000000e+02
   9.0000000e+01   5.6370546e+02   3.0840168e+02   3.0000000e+02
   1.0000000e+02   5.7253980e+02   3.1183560e+02   3.0000000e+02
   1.1000000e+02   5.8048390e+02   3.1578066e+02   3.0000003e+02
   1.2000000e+02   5.8766764e+02   3.2017032e+02   3.0000017e+02
   1.3000000e+02   5.9418494e+02   3.2493858e+02   3.0000058e+02
   1.4000000e+02   6.0009963e+02   3.3002328e+02   3.0000157e+02
   1.5000000e+02   6.0545527e+02   3.3536755e+02   3.0000355e+02
   1.6000000e+02   6.1029343e+02   3.4092040e+02   3.0000713e+02
   1.7000000e+02   6.1467321e+02   3.4663663e+02   3.0001304e+02
   1.8000000e+02   6.1867366e+02   3.5247637e+02   3.0002214e+02
   1.9000000e+02   6.2237644e+02   3.5840450e+02   3.0003543e+02
   2.0000000e+02   6.2584967e+02   3.6439000e+02   3.0005396e+02
